match_days,match_href,match_title,match_result,match_ground,match_location
1998-04-03,https://www.cricbuzz.com/cricket-scores/6085/vs-1st-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs PAKISTAN, 1st Match",South Africa won by 52 runs,Kingsmead,Durban
1998-04-03,https://www.cricbuzz.com/cricket-scores/6085/vs-1st-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs PAKISTAN, 1st Match",South Africa won by 52 runs,Kingsmead,Durban
1998-04-05,https://www.cricbuzz.com/cricket-scores/6086/vs-2nd-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs SRI LANKA, 2nd Match",South Africa won by 57 runs,The Wanderers Stadium,Johannesburg
1998-04-07,https://www.cricbuzz.com/cricket-scores/6087/vs-3rd-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"PAKISTAN vs SRI LANKA, 3rd Match",Pakistan won by 4 wickets (with 12 balls remaining),Diamond Oval,Kimberley
1998-04-09,https://www.cricbuzz.com/cricket-scores/6088/vs-4th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"PAKISTAN vs SRI LANKA, 4th Match",Pakistan won by 110 runs,Boland Park,Paarl
1998-04-11,https://www.cricbuzz.com/cricket-scores/6089/vs-5th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs PAKISTAN, 5th Match",South Africa won by 3 wickets (with 22 balls remaining),Buffalo Park,East London
1998-04-13,https://www.cricbuzz.com/cricket-scores/6090/vs-6th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs SRI LANKA, 6th Match",Sri Lanka won by 6 wickets (with 20 balls remaining),St George's Park,Port Elizabeth
1998-04-15,https://www.cricbuzz.com/cricket-scores/6091/vs-7th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"PAKISTAN vs SRI LANKA, 7th Match",Sri Lanka won by 115 runs,Willowmoore Park,Benoni
1998-04-17,https://www.cricbuzz.com/cricket-scores/6092/vs-8th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs PAKISTAN, 8th Match",South Africa won by 7 wickets (with 87 balls remaining),SuperSport Park,Centurion
1998-04-19,https://www.cricbuzz.com/cricket-scores/6093/vs-9th-match-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs SRI LANKA, 9th Match",South Africa won by 5 wickets (with 141 balls remaining),Mangaung Oval,Bloemfontein
1998-04-23,https://www.cricbuzz.com/cricket-scores/6094/vs-final-pakistan-south-africa-sri-lanka-in-south-africa-1998,"SOUTH AFRICA vs PAKISTAN, Final",South Africa won by 9 wickets (with 134 balls remaining),Newlands,Cape Town
1998-04-01,https://www.cricbuzz.com/cricket-scores/6078/vs-1st-match-australia-india-zimbabwe-in-india-1998,"INDIA vs AUSTRALIA, 1st Match",India won by 41 runs,Nehru Stadium,Kochi
1998-04-01,https://www.cricbuzz.com/cricket-scores/6078/vs-1st-match-australia-india-zimbabwe-in-india-1998,"INDIA vs AUSTRALIA, 1st Match",India won by 41 runs,Nehru Stadium,Kochi
1998-04-03,https://www.cricbuzz.com/cricket-scores/6079/vs-2nd-match-australia-india-zimbabwe-in-india-1998,"AUSTRALIA vs ZIMBABWE, 2nd Match",Australia won by 13 runs,Sardar Patel Stadium,Ahmedabad
1998-04-05,https://www.cricbuzz.com/cricket-scores/6080/vs-3rd-match-australia-india-zimbabwe-in-india-1998,"INDIA vs ZIMBABWE, 3rd Match",India won by 13 runs,Reliance Stadium,Vadodara
1998-04-07,https://www.cricbuzz.com/cricket-scores/6081/vs-4th-match-australia-india-zimbabwe-in-india-1998,"INDIA vs AUSTRALIA, 4th Match",India won by 6 wickets (with 33 balls remaining),Green Park,Kanpur
1998-04-09,https://www.cricbuzz.com/cricket-scores/6082/vs-5th-match-australia-india-zimbabwe-in-india-1998,"INDIA vs ZIMBABWE, 5th Match",India won by 32 runs,Barabati Stadium,Cuttack
1998-04-11,https://www.cricbuzz.com/cricket-scores/6083/vs-6th-match-australia-india-zimbabwe-in-india-1998,"AUSTRALIA vs ZIMBABWE, 6th Match",Australia won by 16 runs,Feroz Shah Kotla,Delhi
1998-04-14,https://www.cricbuzz.com/cricket-scores/6084/vs-final-australia-india-zimbabwe-in-india-1998,"INDIA vs AUSTRALIA, Final",Australia won by 4 wickets (with 8 balls remaining),Feroz Shah Kotla,Delhi
1998-03-29,https://www.cricbuzz.com/cricket-scores/6073/vs-1st-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 1st ODI",England won by 16 runs,Kensington Oval,Bridgetown
1998-03-29,https://www.cricbuzz.com/cricket-scores/6073/vs-1st-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 1st ODI",England won by 16 runs,Kensington Oval,Bridgetown
1998-04-01,https://www.cricbuzz.com/cricket-scores/6074/vs-2nd-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 2nd ODI",West Indies won by 1 wicket (with 1 ball remaining),Kensington Oval,Bridgetown
1998-04-04,https://www.cricbuzz.com/cricket-scores/6075/vs-3rd-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 3rd ODI",West Indies won by 5 wickets (with 11 balls remaining),Arnos Vale Ground,Kingstown
1998-04-05,https://www.cricbuzz.com/cricket-scores/6076/vs-4th-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 4th ODI",West Indies won by 4 wickets (with 74 balls remaining),Arnos Vale Ground,Kingstown
1998-04-08,https://www.cricbuzz.com/cricket-scores/6077/vs-5th-odi-england-in-west-indies-odi-series-1998,"WINDIES vs ENGLAND, 5th ODI",West Indies won by 57 runs,Queen's Park Oval,Port of Spain
1998-03-28,https://www.cricbuzz.com/cricket-scores/6071/vs-1st-odi-pakistan-in-zimbabwe-odi-series-1998,"ZIMBABWE vs PAKISTAN, 1st ODI",Pakistan won by 4 wickets (with 14 balls remaining),Harare Sports Club,Harare
1998-03-28,https://www.cricbuzz.com/cricket-scores/6071/vs-1st-odi-pakistan-in-zimbabwe-odi-series-1998,"ZIMBABWE vs PAKISTAN, 1st ODI",Pakistan won by 4 wickets (with 14 balls remaining),Harare Sports Club,Harare
1998-03-29,https://www.cricbuzz.com/cricket-scores/6072/vs-2nd-odi-pakistan-in-zimbabwe-odi-series-1998,"ZIMBABWE vs PAKISTAN, 2nd ODI",Pakistan won by 4 wickets (with 20 balls remaining),Harare Sports Club,Harare
1998-03-19 | 1998-03-23,https://www.cricbuzz.com/cricket-scores/6267/vs-1st-test-sri-lanka-in-south-africa-test-series-1998,"SOUTH AFRICA vs SRI LANKA, 1st Test",South Africa won by 70 runs,Newlands,Cape Town
1998-03-19 | 1998-03-23,https://www.cricbuzz.com/cricket-scores/6267/vs-1st-test-sri-lanka-in-south-africa-test-series-1998,"SOUTH AFRICA vs SRI LANKA, 1st Test",South Africa won by 70 runs,Newlands,Cape Town
1998-03-27 | 1998-03-30,https://www.cricbuzz.com/cricket-scores/6268/vs-2nd-test-sri-lanka-in-south-africa-test-series-1998,"SOUTH AFRICA vs SRI LANKA, 2nd Test",South Africa won by 6 wickets,SuperSport Park,Centurion
1998-03-14 | 1998-03-18,https://www.cricbuzz.com/cricket-scores/6262/vs-1st-test-pakistan-in-zimbabwe-test-series-1998,"ZIMBABWE vs PAKISTAN, 1st Test",Match drawn,Queens Sports Club,Bulawayo
1998-03-14 | 1998-03-18,https://www.cricbuzz.com/cricket-scores/6262/vs-1st-test-pakistan-in-zimbabwe-test-series-1998,"ZIMBABWE vs PAKISTAN, 1st Test",Match drawn,Queens Sports Club,Bulawayo
1998-03-21 | 1998-03-25,https://www.cricbuzz.com/cricket-scores/6263/vs-2nd-test-pakistan-in-zimbabwe-test-series-1998,"ZIMBABWE vs PAKISTAN, 2nd Test",Pakistan won by 3 wickets,Harare Sports Club,Harare
1998-03-06 | 1998-03-10,https://www.cricbuzz.com/cricket-scores/6264/vs-1st-test-australia-in-india-1998,"INDIA vs AUSTRALIA, 1st Test",India won by 179 runs,MA Chidambaram Stadium,Chennai
1998-03-06 | 1998-03-10,https://www.cricbuzz.com/cricket-scores/6264/vs-1st-test-australia-in-india-1998,"INDIA vs AUSTRALIA, 1st Test",India won by 179 runs,MA Chidambaram Stadium,Chennai
1998-03-18 | 1998-03-21,https://www.cricbuzz.com/cricket-scores/6265/vs-2nd-test-australia-in-india-1998,"INDIA vs AUSTRALIA, 2nd Test",India won by an innings and 219 runs,Eden Gardens,Kolkata
1998-03-25 | 1998-03-28,https://www.cricbuzz.com/cricket-scores/6266/vs-3rd-test-australia-in-india-1998,"INDIA vs AUSTRALIA, 3rd Test",Australia won by 8 wickets,M.Chinnaswamy Stadium,Bengaluru
1998-02-19 | 1998-02-22,https://www.cricbuzz.com/cricket-scores/6251/vs-1st-test-zimbabwe-in-new-zealand-test-series-1998,"NEW ZEALAND vs ZIMBABWE, 1st Test",New Zealand won by 10 wickets,Basin Reserve,Wellington
1998-02-19 | 1998-02-22,https://www.cricbuzz.com/cricket-scores/6251/vs-1st-test-zimbabwe-in-new-zealand-test-series-1998,"NEW ZEALAND vs ZIMBABWE, 1st Test",New Zealand won by 10 wickets,Basin Reserve,Wellington
1998-02-26 | 1998-02-28,https://www.cricbuzz.com/cricket-scores/6252/vs-2nd-test-zimbabwe-in-new-zealand-test-series-1998,"NEW ZEALAND vs ZIMBABWE, 2nd Test",New Zealand won by an innings and 13 runs,Eden Park,Auckland
1998-02-14 | 1998-02-18,https://www.cricbuzz.com/cricket-scores/6253/vs-1st-test-pakistan-in-south-africa-test-series-1998,"SOUTH AFRICA vs PAKISTAN, 1st Test",Match drawn,The Wanderers Stadium,Johannesburg
1998-02-14 | 1998-02-18,https://www.cricbuzz.com/cricket-scores/6253/vs-1st-test-pakistan-in-south-africa-test-series-1998,"SOUTH AFRICA vs PAKISTAN, 1st Test",Match drawn,The Wanderers Stadium,Johannesburg
1998-02-26 | 1998-03-02,https://www.cricbuzz.com/cricket-scores/6254/vs-2nd-test-pakistan-in-south-africa-test-series-1998,"SOUTH AFRICA vs PAKISTAN, 2nd Test",Pakistan won by 29 runs,Kingsmead,Durban
1998-03-06 | 1998-03-10,https://www.cricbuzz.com/cricket-scores/6255/vs-3rd-test-pakistan-in-south-africa-test-series-1998,"SOUTH AFRICA vs PAKISTAN, 3rd Test",South Africa won by 259 runs,St George's Park,Port Elizabeth
1998-02-08,https://www.cricbuzz.com/cricket-scores/6062/vs-1st-odi-australia-in-new-zealand-odi-series-1998,"NEW ZEALAND vs AUSTRALIA, 1st ODI",Australia won by 7 wickets (with 70 balls remaining),AMI Stadium,Christchurch
1998-02-08,https://www.cricbuzz.com/cricket-scores/6062/vs-1st-odi-australia-in-new-zealand-odi-series-1998,"NEW ZEALAND vs AUSTRALIA, 1st ODI",Australia won by 7 wickets (with 70 balls remaining),AMI Stadium,Christchurch
1998-02-10,https://www.cricbuzz.com/cricket-scores/6063/vs-2nd-odi-australia-in-new-zealand-odi-series-1998,"NEW ZEALAND vs AUSTRALIA, 2nd ODI",Australia won by 66 runs,Basin Reserve,Wellington
1998-02-12,https://www.cricbuzz.com/cricket-scores/6064/vs-3rd-odi-australia-in-new-zealand-odi-series-1998,"NEW ZEALAND vs AUSTRALIA, 3rd ODI",New Zealand won by 7 wickets (with 10 balls remaining),McLean Park,Napier
1998-02-14,https://www.cricbuzz.com/cricket-scores/6065/vs-4th-odi-australia-in-new-zealand-odi-series-1998,"NEW ZEALAND vs AUSTRALIA, 4th ODI",New Zealand won by 30 runs,Eden Park,Auckland
1998-02-04,https://www.cricbuzz.com/cricket-scores/6066/vs-1st-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 1st ODI",New Zealand won by 40 runs,Seddon Park,Hamilton
1998-02-04,https://www.cricbuzz.com/cricket-scores/6066/vs-1st-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 1st ODI",New Zealand won by 40 runs,Seddon Park,Hamilton
1998-02-06,https://www.cricbuzz.com/cricket-scores/6067/vs-2nd-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 2nd ODI",New Zealand won by 8 wickets (with 130 balls remaining),Basin Reserve,Wellington
1998-03-04,https://www.cricbuzz.com/cricket-scores/6068/vs-3rd-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 3rd ODI",Zimbabwe won by 1 run,AMI Stadium,Christchurch
1998-03-06,https://www.cricbuzz.com/cricket-scores/6069/vs-4th-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 4th ODI",New Zealand won by 9 wickets (with 26 balls remaining),McLean Park,Napier
1998-03-08,https://www.cricbuzz.com/cricket-scores/6070/vs-5th-odi-zimbabwe-in-new-zealand-odi-series-1998,"NEW ZEALAND vs ZIMBABWE, 5th ODI",New Zealand won by 2 runs,Eden Park,Auckland
1998-01-29 | 1998-02-02,https://www.cricbuzz.com/cricket-scores/6256/vs-1st-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 1st Test",Match drawn,Sabina Park,Kingston
1998-01-29 | 1998-02-02,https://www.cricbuzz.com/cricket-scores/6256/vs-1st-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 1st Test",Match drawn,Sabina Park,Kingston
1998-02-05 | 1998-02-09,https://www.cricbuzz.com/cricket-scores/6257/vs-2nd-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 2nd Test",West Indies won by 3 wickets,Queen's Park Oval,Port of Spain
1998-02-13 | 1998-02-17,https://www.cricbuzz.com/cricket-scores/6258/vs-3rd-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 3rd Test",England won by 3 wickets,Queen's Park Oval,Port of Spain
1998-02-27 | 1998-03-02,https://www.cricbuzz.com/cricket-scores/6259/vs-4th-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 4th Test",West Indies won by 242 runs,Bourda,Georgetown
1998-03-12 | 1998-03-16,https://www.cricbuzz.com/cricket-scores/6260/vs-5th-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 5th Test",Match drawn,Kensington Oval,Bridgetown
1998-03-20 | 1998-03-24,https://www.cricbuzz.com/cricket-scores/6261/vs-6th-test-england-in-west-indies-1998,"WINDIES vs ENGLAND, 6th Test",West Indies won by an innings and 52 runs,Antigua Recreation Ground,St John's
1998-01-22,https://www.cricbuzz.com/cricket-scores/6044/vs-1st-odi-zimbabwe-in-sri-lanka-odi-series-1998,"SRI LANKA vs ZIMBABWE, 1st ODI",Sri Lanka won by 5 wickets (with 28 balls remaining),Sinhalese Sports Club,Colombo
1998-01-22,https://www.cricbuzz.com/cricket-scores/6044/vs-1st-odi-zimbabwe-in-sri-lanka-odi-series-1998,"SRI LANKA vs ZIMBABWE, 1st ODI",Sri Lanka won by 5 wickets (with 28 balls remaining),Sinhalese Sports Club,Colombo
1998-01-24,https://www.cricbuzz.com/cricket-scores/6045/vs-2nd-odi-zimbabwe-in-sri-lanka-odi-series-1998,"SRI LANKA vs ZIMBABWE, 2nd ODI",Sri Lanka won by 5 wickets (with 10 balls remaining),R.Premadasa Stadium,Colombo
1998-01-26,https://www.cricbuzz.com/cricket-scores/6046/vs-3rd-odi-zimbabwe-in-sri-lanka-odi-series-1998,"SRI LANKA vs ZIMBABWE, 3rd ODI",Sri Lanka won by 4 wickets (with 6 balls remaining),Sinhalese Sports Club,Colombo
1998-01-10,https://www.cricbuzz.com/cricket-scores/6038/vs-1st-match-bangladesh-india-pakistan-in-bangladesh-1998,"BANGLADESH vs INDIA, 1st Match",India won by 4 wickets (with 10 balls remaining),Bangabandhu National Stadium,Dhaka
1998-01-10,https://www.cricbuzz.com/cricket-scores/6038/vs-1st-match-bangladesh-india-pakistan-in-bangladesh-1998,"BANGLADESH vs INDIA, 1st Match",India won by 4 wickets (with 10 balls remaining),Bangabandhu National Stadium,Dhaka
1998-01-11,https://www.cricbuzz.com/cricket-scores/6039/vs-2nd-match-bangladesh-india-pakistan-in-bangladesh-1998,"INDIA vs PAKISTAN, 2nd Match",India won by 18 runs,Bangabandhu National Stadium,Dhaka
1998-01-12,https://www.cricbuzz.com/cricket-scores/6040/vs-3rd-match-bangladesh-india-pakistan-in-bangladesh-1998,"BANGLADESH vs PAKISTAN, 3rd Match",Pakistan won by 9 wickets (with 100 balls remaining),Bangabandhu National Stadium,Dhaka
1998-01-14,https://www.cricbuzz.com/cricket-scores/6041/vs-1st-final-bangladesh-india-pakistan-in-bangladesh-1998,"INDIA vs PAKISTAN, 1st Final",India won by 8 wickets (with 53 balls remaining),Bangabandhu National Stadium,Dhaka
1998-01-16,https://www.cricbuzz.com/cricket-scores/6042/vs-2nd-final-bangladesh-india-pakistan-in-bangladesh-1998,"INDIA vs PAKISTAN, 2nd Final",Pakistan won by 6 wickets (with 111 balls remaining),Bangabandhu National Stadium,Dhaka
1998-01-18,https://www.cricbuzz.com/cricket-scores/6043/vs-3rd-final-bangladesh-india-pakistan-in-bangladesh-1998,"INDIA vs PAKISTAN, 3rd Final",India won by 3 wickets (with 1 ball remaining),Bangabandhu National Stadium,Dhaka
1998-01-07 | 1998-01-11,https://www.cricbuzz.com/cricket-scores/6246/vs-1st-test-zimbabwe-in-sri-lanka-test-series-1998,"SRI LANKA vs ZIMBABWE, 1st Test",Sri Lanka won by 8 wickets,Asgiriya Stadium,Kandy
1998-01-07 | 1998-01-11,https://www.cricbuzz.com/cricket-scores/6246/vs-1st-test-zimbabwe-in-sri-lanka-test-series-1998,"SRI LANKA vs ZIMBABWE, 1st Test",Sri Lanka won by 8 wickets,Asgiriya Stadium,Kandy
1998-01-14 | 1998-01-18,https://www.cricbuzz.com/cricket-scores/6247/vs-2nd-test-zimbabwe-in-sri-lanka-test-series-1998,"SRI LANKA vs ZIMBABWE, 2nd Test",Sri Lanka won by 5 wickets,Sinhalese Sports Club,Colombo
1999-12-16 | 1999-12-20,https://www.cricbuzz.com/cricket-scores/5907/vs-1st-test-west-indies-in-new-zealand-test-series-1999,"NEW ZEALAND vs WINDIES, 1st Test",New Zealand won by 9 wickets,Seddon Park,Hamilton
1999-12-16 | 1999-12-20,https://www.cricbuzz.com/cricket-scores/5907/vs-1st-test-west-indies-in-new-zealand-test-series-1999,"NEW ZEALAND vs WINDIES, 1st Test",New Zealand won by 9 wickets,Seddon Park,Hamilton
1999-12-26 | 1999-12-29,https://www.cricbuzz.com/cricket-scores/5908/vs-2nd-test-west-indies-in-new-zealand-test-series-1999,"NEW ZEALAND vs WINDIES, 2nd Test",New Zealand won by an innings and 105 runs,Basin Reserve,Wellington
1999-12-11,https://www.cricbuzz.com/cricket-scores/5694/vs-1st-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 1st ODI",No result,Queens Sports Club,Bulawayo
1999-12-11,https://www.cricbuzz.com/cricket-scores/5694/vs-1st-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 1st ODI",No result,Queens Sports Club,Bulawayo
1999-12-12,https://www.cricbuzz.com/cricket-scores/5695/vs-2nd-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 2nd ODI",Sri Lanka won by 13 runs,Queens Sports Club,Bulawayo
1999-12-15,https://www.cricbuzz.com/cricket-scores/5696/vs-3rd-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 3rd ODI",Sri Lanka won by 98 runs,Harare Sports Club,Harare
1999-12-18,https://www.cricbuzz.com/cricket-scores/5697/vs-4th-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 4th ODI",Sri Lanka won by 6 wickets (with 32 balls remaining),Harare Sports Club,Harare
1999-12-19,https://www.cricbuzz.com/cricket-scores/5698/vs-5th-odi-sri-lanka-in-zimbabwe-odi-series-1999,"ZIMBABWE vs SRI LANKA, 5th ODI",Zimbabwe won by 6 wickets (with 22 balls remaining),Harare Sports Club,Harare
1999-12-10 | 1999-12-14,https://www.cricbuzz.com/cricket-scores/5909/vs-1st-test-india-in-australia-1999-00,"AUSTRALIA vs INDIA, 1st Test",Australia won by 285 runs,Adelaide Oval,Adelaide
1999-12-10 | 1999-12-14,https://www.cricbuzz.com/cricket-scores/5909/vs-1st-test-india-in-australia-1999-00,"AUSTRALIA vs INDIA, 1st Test",Australia won by 285 runs,Adelaide Oval,Adelaide
1999-12-26 | 1999-12-30,https://www.cricbuzz.com/cricket-scores/5910/vs-2nd-test-india-in-australia-1999-00,"AUSTRALIA vs INDIA, 2nd Test",Australia won by 180 runs,Melbourne Cricket Ground,Melbourne
2000-01-02 | 2000-01-04,https://www.cricbuzz.com/cricket-scores/5911/vs-3rd-test-india-in-australia-1999-00,"AUSTRALIA vs INDIA, 3rd Test",Australia won by an innings and 141 runs,Sydney Cricket Ground,Sydney
1999-11-25 | 1999-11-28,https://www.cricbuzz.com/cricket-scores/5912/vs-1st-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 1st Test",South Africa won by an innings and 21 runs,The Wanderers Stadium,Johannesburg
1999-11-25 | 1999-11-28,https://www.cricbuzz.com/cricket-scores/5912/vs-1st-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 1st Test",South Africa won by an innings and 21 runs,The Wanderers Stadium,Johannesburg
1999-12-09 | 1999-12-13,https://www.cricbuzz.com/cricket-scores/5913/vs-2nd-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 2nd Test",Match drawn,St George's Park,Port Elizabeth
1999-12-26 | 1999-12-30,https://www.cricbuzz.com/cricket-scores/5914/vs-3rd-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 3rd Test",Match drawn,Kingsmead,Durban
2000-01-02 | 2000-01-05,https://www.cricbuzz.com/cricket-scores/5915/vs-4th-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 4th Test",South Africa won by an innings and 37 runs,Newlands,Cape Town
2000-01-14 | 2000-01-18,https://www.cricbuzz.com/cricket-scores/9869/vs-5th-test-england-in-south-africa-test-series-1999-00,"SOUTH AFRICA vs ENGLAND, 5th Test",England won by 2 wickets ,SuperSport Park,Centurion
1999-11-18 | 1999-11-22,https://www.cricbuzz.com/cricket-scores/5904/vs-1st-test-sri-lanka-in-zimbabwe-test-series-1999,"ZIMBABWE vs SRI LANKA, 1st Test",Match drawn,Queens Sports Club,Bulawayo
1999-11-18 | 1999-11-22,https://www.cricbuzz.com/cricket-scores/5904/vs-1st-test-sri-lanka-in-zimbabwe-test-series-1999,"ZIMBABWE vs SRI LANKA, 1st Test",Match drawn,Queens Sports Club,Bulawayo
1999-11-26 | 1999-11-30,https://www.cricbuzz.com/cricket-scores/5905/vs-2nd-test-sri-lanka-in-zimbabwe-test-series-1999,"ZIMBABWE vs SRI LANKA, 2nd Test",Sri Lanka won by 6 wickets,Harare Sports Club,Harare
1999-12-04 | 1999-12-08,https://www.cricbuzz.com/cricket-scores/5906/vs-3rd-test-sri-lanka-in-zimbabwe-test-series-1999,"ZIMBABWE vs SRI LANKA, 3rd Test",Match drawn,Harare Sports Club,Harare
1999-11-05 | 1999-11-09,https://www.cricbuzz.com/cricket-scores/5901/vs-1st-test-pakistan-in-australia-test-series-1999,"AUSTRALIA vs PAKISTAN, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1999-11-05 | 1999-11-09,https://www.cricbuzz.com/cricket-scores/5901/vs-1st-test-pakistan-in-australia-test-series-1999,"AUSTRALIA vs PAKISTAN, 1st Test",Australia won by 10 wickets,The Gabba,Brisbane
1999-11-18 | 1999-11-22,https://www.cricbuzz.com/cricket-scores/5902/vs-2nd-test-pakistan-in-australia-test-series-1999,"AUSTRALIA vs PAKISTAN, 2nd Test",Australia won by 4 wickets,Bellerive Oval,Hobart
1999-11-26 | 1999-11-28,https://www.cricbuzz.com/cricket-scores/5903/vs-3rd-test-pakistan-in-australia-test-series-1999,"AUSTRALIA vs PAKISTAN, 3rd Test",Australia won by an innings and 20 runs,W.A.C.A. Ground,Perth
1999-11-05,https://www.cricbuzz.com/cricket-scores/5689/vs-1st-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 1st ODI",New Zealand won by 43 runs,Madhavrao Scindia Cricket Ground,Rajkot
1999-11-05,https://www.cricbuzz.com/cricket-scores/5689/vs-1st-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 1st ODI",New Zealand won by 43 runs,Madhavrao Scindia Cricket Ground,Rajkot
1999-11-08,https://www.cricbuzz.com/cricket-scores/5690/vs-2nd-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 2nd ODI",India won by 174 runs,Lal Bahadur Shastri Stadium,Hyderabad
1999-11-11,https://www.cricbuzz.com/cricket-scores/5691/vs-3rd-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 3rd ODI",India won by 14 runs,Captain Roop Singh Stadium,Gwalior
1999-11-14,https://www.cricbuzz.com/cricket-scores/5692/vs-4th-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 4th ODI",New Zealand won by 48 runs,Nehru Stadium,Guwahati
1999-11-17,https://www.cricbuzz.com/cricket-scores/5693/vs-5th-odi-new-zealand-in-india-odi-series-1999,"INDIA vs NEW ZEALAND, 5th ODI",India won by 7 wickets (with 36 balls remaining),Feroz Shah Kotla,Delhi
1999-10-29 | 1999-11-01,https://www.cricbuzz.com/cricket-scores/5899/vs-1st-test-south-africa-v-zimbabwe-test-series-1999,"SOUTH AFRICA vs ZIMBABWE, 1st Test",South Africa won by an innings and 13 runs,Mangaung Oval,Bloemfontein
1999-10-29 | 1999-11-01,https://www.cricbuzz.com/cricket-scores/5899/vs-1st-test-south-africa-v-zimbabwe-test-series-1999,"SOUTH AFRICA vs ZIMBABWE, 1st Test",South Africa won by an innings and 13 runs,Mangaung Oval,Bloemfontein
1999-11-11 | 1999-11-14,https://www.cricbuzz.com/cricket-scores/5900/vs-2nd-test-south-africa-v-zimbabwe-test-series-1999,"ZIMBABWE vs SOUTH AFRICA, 2nd Test",South Africa won by an innings and 219 runs,Harare Sports Club,Harare
1999-10-21,https://www.cricbuzz.com/cricket-scores/5686/vs-1st-odi-australia-in-zimbabwe-odi-series-1999,"ZIMBABWE vs AUSTRALIA, 1st ODI",Australia won by 83 runs,Queens Sports Club,Bulawayo
1999-10-21,https://www.cricbuzz.com/cricket-scores/5686/vs-1st-odi-australia-in-zimbabwe-odi-series-1999,"ZIMBABWE vs AUSTRALIA, 1st ODI",Australia won by 83 runs,Queens Sports Club,Bulawayo
1999-10-23,https://www.cricbuzz.com/cricket-scores/5687/vs-2nd-odi-australia-in-zimbabwe-odi-series-1999,"ZIMBABWE vs AUSTRALIA, 2nd ODI",Australia won by 9 wickets (with 129 balls remaining),Harare Sports Club,Harare
1999-10-24,https://www.cricbuzz.com/cricket-scores/5688/vs-3rd-odi-australia-in-zimbabwe-odi-series-1999,"ZIMBABWE vs AUSTRALIA, 3rd ODI",Australia won by 9 wickets (with 66 balls remaining),Harare Sports Club,Harare
1999-10-14 | 1999-10-17,https://www.cricbuzz.com/cricket-scores/5895/vs-only-test-australia-in-zimbabwe-1999,"ZIMBABWE vs AUSTRALIA, Only Test",Australia won by 10 wickets,Harare Sports Club,Harare
