match_days,match_href,match_title,match_result,match_ground,match_location
2018-02-16,https://www.cricbuzz.com/cricket-scores/17702/vs-5th-match-england-australia-new-zealand-t20i-tri-series-2018,"NEW ZEALAND vs AUSTRALIA, 5th Match",Australia won by 5 wkts,Eden Park,Auckland
2018-02-18,https://www.cricbuzz.com/cricket-scores/17703/vs-6th-match-england-australia-new-zealand-t20i-tri-series-2018,"NEW ZEALAND vs ENGLAND, 6th Match",England won by 2 runs,Seddon Park,Hamilton
2018-02-21,https://www.cricbuzz.com/cricket-scores/17704/vs-final-england-australia-new-zealand-t20i-tri-series-2018,"NEW ZEALAND vs AUSTRALIA, Final",Australia won by 19 runs (DLS method due to rain),Eden Park,Auckland
2018-01-31 | 2018-02-04,https://www.cricbuzz.com/cricket-scores/19355/vs-1st-test-sri-lanka-tour-of-bangladesh-2018,"BANGLADESH vs SRI LANKA, 1st Test",Match drawn,Zahur Ahmed Chowdhury Stadium,Chattogram
2018-01-31 | 2018-02-04,https://www.cricbuzz.com/cricket-scores/19355/vs-1st-test-sri-lanka-tour-of-bangladesh-2018,"BANGLADESH vs SRI LANKA, 1st Test",Match drawn,Zahur Ahmed Chowdhury Stadium,Chattogram
2018-02-08 | 2018-02-12,https://www.cricbuzz.com/cricket-scores/19356/vs-2nd-test-sri-lanka-tour-of-bangladesh-2018,"BANGLADESH vs SRI LANKA, 2nd Test",Sri Lanka won by 215 runs,Shere Bangla National Stadium,Dhaka
2018-02-15,https://www.cricbuzz.com/cricket-scores/19357/vs-1st-t20i-sri-lanka-tour-of-bangladesh-2018,"BANGLADESH vs SRI LANKA, 1st T20I",Sri Lanka won by 6 wkts,Shere Bangla National Stadium,Dhaka
2018-02-18,https://www.cricbuzz.com/cricket-scores/19358/vs-2nd-t20i-sri-lanka-tour-of-bangladesh-2018,"BANGLADESH vs SRI LANKA, 2nd T20I",Sri Lanka won by 75 runs,Sylhet International Cricket Stadium,Sylhet
2018-01-15,https://www.cricbuzz.com/cricket-scores/19348/vs-1st-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs ZIMBABWE, 1st Match",Bangladesh won by 8 wkts,Shere Bangla National Stadium,Dhaka
2018-01-15,https://www.cricbuzz.com/cricket-scores/19348/vs-1st-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs ZIMBABWE, 1st Match",Bangladesh won by 8 wkts,Shere Bangla National Stadium,Dhaka
2018-01-17,https://www.cricbuzz.com/cricket-scores/19349/vs-2nd-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"SRI LANKA vs ZIMBABWE, 2nd Match",Zimbabwe won by 12 runs,Shere Bangla National Stadium,Dhaka
2018-01-19,https://www.cricbuzz.com/cricket-scores/19350/vs-3rd-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs SRI LANKA, 3rd Match",Bangladesh won by 163 runs,Shere Bangla National Stadium,Dhaka
2018-01-21,https://www.cricbuzz.com/cricket-scores/19351/vs-4th-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"SRI LANKA vs ZIMBABWE, 4th Match",Sri Lanka won by 5 wkts,Shere Bangla National Stadium,Dhaka
2018-01-23,https://www.cricbuzz.com/cricket-scores/19352/vs-5th-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs ZIMBABWE, 5th Match",Bangladesh won by 91 runs,Shere Bangla National Stadium,Dhaka
2018-01-25,https://www.cricbuzz.com/cricket-scores/19353/vs-6th-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs SRI LANKA, 6th Match",Sri Lanka won by 10 wkts,Shere Bangla National Stadium,Dhaka
2018-01-27,https://www.cricbuzz.com/cricket-scores/19354/vs-final-match-sri-lanka-and-zimbabwe-in-bangladesh-tri-series-2018,"BANGLADESH vs SRI LANKA, Final Match",Sri Lanka won by 79 runs,Shere Bangla National Stadium,Dhaka
2018-01-14,https://www.cricbuzz.com/cricket-scores/17693/vs-1st-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 1st ODI",England won by 5 wkts,Melbourne Cricket Ground,Melbourne
2018-01-14,https://www.cricbuzz.com/cricket-scores/17693/vs-1st-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 1st ODI",England won by 5 wkts,Melbourne Cricket Ground,Melbourne
2018-01-19,https://www.cricbuzz.com/cricket-scores/17694/vs-2nd-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 2nd ODI",England won by 4 wkts,The Gabba,Brisbane
2018-01-21,https://www.cricbuzz.com/cricket-scores/17695/vs-3rd-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 3rd ODI",England won by 16 runs,Sydney Cricket Ground,Sydney
2018-01-26,https://www.cricbuzz.com/cricket-scores/17696/vs-4th-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 4th ODI",Australia won by 3 wkts,Adelaide Oval,Adelaide
2018-01-28,https://www.cricbuzz.com/cricket-scores/17697/vs-5th-odi-england-tour-of-australia-2018,"AUSTRALIA vs ENGLAND, 5th ODI",England won by 12 runs,Perth Stadium,Perth
2018-01-11,https://www.cricbuzz.com/cricket-scores/19946/vs-1st-match-ireland-and-scotland-in-uae-tri-series-2018,"UNITED ARAB EMIRATES vs IRELAND, 1st Match",Ireland won by 4 wkts,ICC Academy,Dubai
2018-01-11,https://www.cricbuzz.com/cricket-scores/19946/vs-1st-match-ireland-and-scotland-in-uae-tri-series-2018,"UNITED ARAB EMIRATES vs IRELAND, 1st Match",Ireland won by 4 wkts,ICC Academy,Dubai
2018-01-13,https://www.cricbuzz.com/cricket-scores/19947/vs-2nd-match-ireland-and-scotland-in-uae-tri-series-2018,"UNITED ARAB EMIRATES vs IRELAND, 2nd Match",Ireland won by 67 runs,ICC Academy,Dubai
2018-01-16,https://www.cricbuzz.com/cricket-scores/19948/vs-3rd-match-ireland-and-scotland-in-uae-tri-series-2018,"IRELAND vs SCOTLAND, 3rd Match",Ireland won by 6 wkts,ICC Academy,Dubai
2018-01-18,https://www.cricbuzz.com/cricket-scores/19949/vs-4th-match-ireland-and-scotland-in-uae-tri-series-2018,"IRELAND vs SCOTLAND, 4th Match",Ireland won by 24 runs,ICC Academy,Dubai
2018-01-21,https://www.cricbuzz.com/cricket-scores/19950/vs-5th-match-ireland-and-scotland-in-uae-tri-series-2018,"UNITED ARAB EMIRATES vs SCOTLAND, 5th Match",Scotland won by 31 runs,ICC Academy,Dubai
2018-01-23,https://www.cricbuzz.com/cricket-scores/19951/vs-6th-match-ireland-and-scotland-in-uae-tri-series-2018,"UNITED ARAB EMIRATES vs SCOTLAND, 6th Match",United Arab Emirates won by 4 wkts,ICC Academy,Dubai
2018-01-05 | 2018-01-09,https://www.cricbuzz.com/cricket-scores/19157/vs-1st-test-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 1st Test",South Africa won by 72 runs,Newlands,Cape Town
2018-01-05 | 2018-01-09,https://www.cricbuzz.com/cricket-scores/19157/vs-1st-test-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 1st Test",South Africa won by 72 runs,Newlands,Cape Town
2018-01-13 | 2018-01-17,https://www.cricbuzz.com/cricket-scores/19158/vs-2nd-test-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 2nd Test",South Africa won by 135 runs,SuperSport Park,Centurion
2018-01-24 | 2018-01-28,https://www.cricbuzz.com/cricket-scores/19159/vs-3rd-test-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 3rd Test",India won by 63 runs,New Wanderers Stadium,Johannesburg
2018-02-01,https://www.cricbuzz.com/cricket-scores/19160/vs-1st-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 1st ODI",India won by 6 wkts,Kingsmead,Durban
2018-02-04,https://www.cricbuzz.com/cricket-scores/19161/vs-2nd-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 2nd ODI",India won by 9 wkts,SuperSport Park,Centurion
2018-02-07,https://www.cricbuzz.com/cricket-scores/19162/vs-3rd-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 3rd ODI",India won by 124 runs,Newlands,Cape Town
2018-02-10,https://www.cricbuzz.com/cricket-scores/19163/vs-4th-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 4th ODI",South Africa won by 5 wkts (DLS method match reduced to 28 overs - target 202),New Wanderers Stadium,Johannesburg
2018-02-13,https://www.cricbuzz.com/cricket-scores/19164/vs-5th-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 5th ODI",India won by 73 runs,St George's Park,Port Elizabeth
2018-02-16,https://www.cricbuzz.com/cricket-scores/19165/vs-6th-odi-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 6th ODI",India won by 8 wkts,SuperSport Park,Centurion
2018-02-18,https://www.cricbuzz.com/cricket-scores/19166/vs-1st-t20i-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 1st T20I",India won by 28 runs,New Wanderers Stadium,Johannesburg
2018-02-21,https://www.cricbuzz.com/cricket-scores/19167/vs-2nd-t20i-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 2nd T20I",South Africa won by 6 wkts,SuperSport Park,Centurion
2018-02-24,https://www.cricbuzz.com/cricket-scores/19168/vs-3rd-t20i-india-tour-of-south-africa-2017-18,"SOUTH AFRICA vs INDIA, 3rd T20I",India won by 7 runs,Newlands,Cape Town
2018-01-02,https://www.cricbuzz.com/cricket-scores/18604/vs-one-day-practice-match-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND XI vs PAKISTAN, One-day practice match",Pakistan won by 120 runs,Saxton Oval,Nelson
2018-01-02,https://www.cricbuzz.com/cricket-scores/18604/vs-one-day-practice-match-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND XI vs PAKISTAN, One-day practice match",Pakistan won by 120 runs,Saxton Oval,Nelson
2018-01-05,https://www.cricbuzz.com/cricket-scores/18605/vs-1st-odi-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 1st ODI",New Zealand won by 61 runs (DLS method ),Basin Reserve,Wellington
2018-01-08,https://www.cricbuzz.com/cricket-scores/18606/vs-2nd-odi-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 2nd ODI",New Zealand won by 8 wkts,Saxton Oval,Nelson
2018-01-12,https://www.cricbuzz.com/cricket-scores/18607/vs-3rd-odi-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 3rd ODI",New Zealand won by 183 runs,University Oval,Dunedin
2018-01-16,https://www.cricbuzz.com/cricket-scores/18608/vs-4th-odi-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 4th ODI",New Zealand won by 5 wkts,Seddon Park,Hamilton
2018-01-18,https://www.cricbuzz.com/cricket-scores/18609/vs-5th-odi-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 5th ODI",New Zealand won by 15 runs,Basin Reserve,Wellington
2018-01-22,https://www.cricbuzz.com/cricket-scores/18610/vs-1st-t20i-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 1st T20I",New Zealand won by 7 wkts,Westpac Stadium,Wellington
2018-01-25,https://www.cricbuzz.com/cricket-scores/18611/vs-2nd-t20i-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 2nd T20I",Pakistan won by 48 runs,Eden Park,Auckland
2018-01-28,https://www.cricbuzz.com/cricket-scores/18612/vs-3rd-t20i-pakistan-tour-of-new-zealand-2018,"NEW ZEALAND vs PAKISTAN, 3rd T20I",Pakistan won by 18 runs,Bay Oval,Mount Maunganui
2019-05-08,https://www.cricbuzz.com/live-cricket-scores/22065/vs-1st-odi-afghanistan-tour-of-scotland-2019,"Scotland vs Afghanistan, 1st ODI",Match abandoned without a ball bowled (no toss),Grange Cricket Club,Edinburgh
2019-05-08,https://www.cricbuzz.com/live-cricket-scores/22065/vs-1st-odi-afghanistan-tour-of-scotland-2019,"Scotland vs Afghanistan, 1st ODI",Match abandoned without a ball bowled (no toss),Grange Cricket Club,Edinburgh
