title,year,duration_text,href
"Pakistan in West Indies Test Series, 1993 ",1993,Apr 17 - May 05,https://www.cricbuzz.com/cricket-series/1345/pakistan-in-west-indies-test-series-1993/matches
"Pakistan in West Indies ODI Series, 1993 ",1993,Mar 24 - Apr 02,https://www.cricbuzz.com/cricket-series/613/pakistan-in-west-indies-odi-series-1993/matches
"Zimbabwe in India ODI Series, 1993 ",1993,Mar 20 - Mar 24,https://www.cricbuzz.com/cricket-series/611/zimbabwe-in-india-odi-series-1993/matches
"Australia in New Zealand ODI Series, 1993 ",1993,Mar 20 - Mar 27,https://www.cricbuzz.com/cricket-series/612/australia-in-new-zealand-odi-series-1993/matches
"Zimbabwe in India Test Match, 1993 ",1993,Mar 14 - Mar 16,https://www.cricbuzz.com/cricket-series/1343/zimbabwe-in-india-test-match-1993/matches
"England in Sri Lanka Test Match, 1993 ",1993,Mar 14 - Mar 17,https://www.cricbuzz.com/cricket-series/1344/england-in-sri-lanka-test-match-1993/matches
"England in Sri Lanka ODI Series, 1993 ",1993,Mar 11 - Mar 19,https://www.cricbuzz.com/cricket-series/610/england-in-sri-lanka-odi-series-1993/matches
"Pakistan in Zimbabwe ODI Match, 1993 ",1993,Mar 03 - Mar 01,https://www.cricbuzz.com/cricket-series/608/pakistan-in-zimbabwe-odi-match-1993/matches
"Australia in New Zealand, 1993 ",1993,Feb 26 - Mar 15,https://www.cricbuzz.com/cricket-series/1342/australia-in-new-zealand-1993/matches
"Pakistan, South Africa, West Indies in South Africa, 1993 ",1993,Feb 10 - Feb 26,https://www.cricbuzz.com/cricket-series/607/pakistan-south-africa-west-indies-in-south-africa-1993/matches
"Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates, 1993 ",1993,Feb 02 - Feb 03,https://www.cricbuzz.com/cricket-series/606/pakistan-sri-lanka-zimbabwe-in-united-arab-emirates-1993/matches
"England in India Test Series, 1993 ",1993,Jan 30 - Feb 22,https://www.cricbuzz.com/cricket-series/1341/england-in-india-test-series-1993/matches
"England in India ODI Series, 1993 ",1993,Jan 17 - Mar 04,https://www.cricbuzz.com/cricket-series/609/england-in-india-odi-series-1993/matches
"Pakistan in New Zealand Test Match, 1993 ",1993,Jan 03 - Jan 04,https://www.cricbuzz.com/cricket-series/1338/pakistan-in-new-zealand-test-match-1993/matches
"Australia, Australia A, England, Zimbabwe in Australia, 1994-95 ",1994,Dec 03 - Jan 16,https://www.cricbuzz.com/cricket-series/636/australia-australia-a-england-zimbabwe-in-australia-1994-95/matches
"New Zealand, Pakistan, South Africa, Sri Lanka in South Africa, 1994 ",1994,Dec 03 - Jan 11,https://www.cricbuzz.com/cricket-series/637/new-zealand-pakistan-south-africa-sri-lanka-in-south-africa-1994/matches
"New Zealand in South Africa Test Series, 1994-95 ",1994,Nov 26 - Jan 05,https://www.cricbuzz.com/cricket-series/1364/new-zealand-in-south-africa-test-series-1994-95/matches
"England in Australia, 1994-95 ",1994,Nov 26 - Feb 06,https://www.cricbuzz.com/cricket-series/1366/england-in-australia-1994-95/matches
"West Indies in India Test Series, 1994 ",1994,Nov 19 - Dec 13,https://www.cricbuzz.com/cricket-series/1363/west-indies-in-india-test-series-1994/matches
"Sri Lanka in Zimbabwe ODI Series, 1994 ",1994,Nov 04 - Nov 05,https://www.cricbuzz.com/cricket-series/634/sri-lanka-in-zimbabwe-odi-series-1994/matches
"India, New Zealand, West Indies in India, 1994 ",1994,Oct 24 - Nov 04,https://www.cricbuzz.com/cricket-series/633/india-new-zealand-west-indies-in-india-1994/matches
"West Indies in India ODI Series, 1994 ",1994,Oct 18 - Nov 10,https://www.cricbuzz.com/cricket-series/635/west-indies-in-india-odi-series-1994/matches
"Australia, Pakistan, South Africa in Pakistan, 1994 ",1994,Oct 13 - Oct 29,https://www.cricbuzz.com/cricket-series/632/australia-pakistan-south-africa-in-pakistan-1994/matches
"Sri Lanka in Zimbabwe Test Series, 1994 ",1994,Oct 12 - Oct 30,https://www.cricbuzz.com/cricket-series/1361/sri-lanka-in-zimbabwe-test-series-1994/matches
"Australia in Pakistan Test Series, 1994 ",1994,Sep 29 - Nov 04,https://www.cricbuzz.com/cricket-series/1362/australia-in-pakistan-test-series-1994/matches
"Australia, India, Pakistan, Sri Lanka in Sri Lanka, 1994 ",1994,Sep 05 - Sep 16,https://www.cricbuzz.com/cricket-series/631/australia-india-pakistan-sri-lanka-in-sri-lanka-1994/matches
"South Africa in England, 1994 ",1994,Aug 26 - Aug 27,https://www.cricbuzz.com/cricket-series/630/south-africa-in-england-1994/matches
"Pakistan in Sri Lanka Test Series, 1994 ",1994,Aug 10 - Aug 27,https://www.cricbuzz.com/cricket-series/1360/pakistan-in-sri-lanka-test-series-1994/matches
"Pakistan in Sri Lanka ODI Series, 1994 ",1994,Aug 04 - Aug 23,https://www.cricbuzz.com/cricket-series/629/pakistan-in-sri-lanka-odi-series-1994/matches
"South Africa in England Test Series, 1994 ",1994,Jul 22 - Aug 20,https://www.cricbuzz.com/cricket-series/1359/south-africa-in-england-test-series-1994/matches
"New Zealand in England Test Series, 1994 ",1994,Jun 03 - Jul 04,https://www.cricbuzz.com/cricket-series/1358/new-zealand-in-england-test-series-1994/matches
"New Zealand in England, 1994 ",1994,May 20 - May 21,https://www.cricbuzz.com/cricket-series/628/new-zealand-in-england-1994/matches
"Australia, India, New Zealand, Pakistan, Sri Lanka, UAE in UAE 1994 ",1994,Apr 14 - Apr 21,https://www.cricbuzz.com/cricket-series/627/australia-india-new-zealand-pakistan-sri-lanka-uae-in-uae-1994/matches
"India in New Zealand ODI Series, 1994 ",1994,Mar 26 - Apr 01,https://www.cricbuzz.com/cricket-series/625/india-in-new-zealand-odi-series-1994/matches
"India in New Zealand Test Match, 1994 ",1994,Mar 20 - Mar 22,https://www.cricbuzz.com/cricket-series/1355/india-in-new-zealand-test-match-1994/matches
"Australia in South Africa Test Series, 1994 ",1994,Mar 05 - Mar 28,https://www.cricbuzz.com/cricket-series/1356/australia-in-south-africa-test-series-1994/matches
"Pakistan in New Zealand ODI Series, 1994 ",1994,Mar 04 - Mar 15,https://www.cricbuzz.com/cricket-series/624/pakistan-in-new-zealand-odi-series-1994/matches
"England in West Indies, 1994 ",1994,Feb 20 - Apr 20,https://www.cricbuzz.com/cricket-series/1357/england-in-west-indies-1994/matches
"Australia in South Africa ODI Series, 1994 ",1994,Feb 20 - Apr 07,https://www.cricbuzz.com/cricket-series/626/australia-in-south-africa-odi-series-1994/matches
"England in West Indies ODI Series, 1994 ",1994,Feb 17 - Mar 05,https://www.cricbuzz.com/cricket-series/623/england-in-west-indies-odi-series-1994/matches
"Sri Lanka in India ODI Series, 1994 ",1994,Feb 16 - Feb 19,https://www.cricbuzz.com/cricket-series/622/sri-lanka-in-india-odi-series-1994/matches
"Pakistan in New Zealand Test Series, 1994 ",1994,Feb 11 - Feb 27,https://www.cricbuzz.com/cricket-series/1354/pakistan-in-new-zealand-test-series-1994/matches
"Sri Lanka in India Test Series, 1994 ",1994,Jan 19 - Feb 11,https://www.cricbuzz.com/cricket-series/1353/sri-lanka-in-india-test-series-1994/matches
"Australia, Sri Lanka, West Indies in Australia, 1995 ",1995,Dec 16 - Jan 19,https://www.cricbuzz.com/cricket-series/650/australia-sri-lanka-west-indies-in-australia-1995/matches
"Pakistan in New Zealand ODI Series, 1995 ",1995,Dec 16 - Dec 22,https://www.cricbuzz.com/cricket-series/649/pakistan-in-new-zealand-odi-series-1995/matches
"Sri Lanka in Australia Test Series, 1995-96 ",1995,Dec 09 - Jan 28,https://www.cricbuzz.com/cricket-series/1380/sri-lanka-in-australia-test-series-1995-96/matches
"Pakistan in New Zealand Test Match, 1995 ",1995,Dec 09 - Dec 11,https://www.cricbuzz.com/cricket-series/1377/pakistan-in-new-zealand-test-match-1995/matches
"England in South Africa Test Series, 1995-96 ",1995,Nov 17 - Jan 03,https://www.cricbuzz.com/cricket-series/1378/england-in-south-africa-test-series-1995-96/matches
"New Zealand in India ODI Series, 1995 ",1995,Nov 16 - Nov 28,https://www.cricbuzz.com/cricket-series/648/new-zealand-in-india-odi-series-1995/matches
"Pakistan in Australia Test Series, 1995 ",1995,Nov 10 - Dec 03,https://www.cricbuzz.com/cricket-series/1376/pakistan-in-australia-test-series-1995/matches
"South Africa in Zimbabwe ODI Series, 1995 ",1995,Oct 22 - Oct 21,https://www.cricbuzz.com/cricket-series/647/south-africa-in-zimbabwe-odi-series-1995/matches
"New Zealand in India Test Series, 1995 ",1995,Oct 19 - Nov 11,https://www.cricbuzz.com/cricket-series/1375/new-zealand-in-india-test-series-1995/matches
"South Africa in Zimbabwe Test Match, 1995 ",1995,Oct 14 - Oct 15,https://www.cricbuzz.com/cricket-series/1374/south-africa-in-zimbabwe-test-match-1995/matches
"Pakistan, Sri Lanka, West Indies in United Arab Emirates, 1995 ",1995,Oct 12 - Oct 19,https://www.cricbuzz.com/cricket-series/646/pakistan-sri-lanka-west-indies-in-united-arab-emirates-1995/matches
"Sri Lanka in Pakistan ODI Series, 1995 ",1995,Sep 30 - Oct 02,https://www.cricbuzz.com/cricket-series/645/sri-lanka-in-pakistan-odi-series-1995/matches
"Sri Lanka in Pakistan Test Series, 1995 ",1995,Sep 09 - Sep 25,https://www.cricbuzz.com/cricket-series/1373/sri-lanka-in-pakistan-test-series-1995/matches
"West Indies in England, 1995 ",1995,Jun 09 - Aug 27,https://www.cricbuzz.com/cricket-series/1372/west-indies-in-england-1995/matches
"West Indies in England, 1995 ",1995,May 25 - May 27,https://www.cricbuzz.com/cricket-series/644/west-indies-in-england-1995/matches
"Bangladesh, India, Pakistan, Sri Lanka in United Arab Emirates, 1995 ( Asia Cup ) ",1995,Apr 06 - Apr 13,https://www.cricbuzz.com/cricket-series/643/bangladesh-india-pakistan-sri-lanka-in-united-arab-emirates-1995-asia-cup/matches
"Australia in West Indies, 1995 ",1995,Apr 01 - May 02,https://www.cricbuzz.com/cricket-series/1371/australia-in-west-indies-1995/matches
"Sri Lanka in New Zealand ODI Series, 1995 ",1995,Mar 27 - Mar 31,https://www.cricbuzz.com/cricket-series/642/sri-lanka-in-new-zealand-odi-series-1995/matches
"Sri Lanka in New Zealand Test Series, 1995 ",1995,Mar 12 - Mar 21,https://www.cricbuzz.com/cricket-series/1370/sri-lanka-in-new-zealand-test-series-1995/matches
"Australia in West Indies ODI Series, 1995 ",1995,Mar 09 - Mar 17,https://www.cricbuzz.com/cricket-series/641/australia-in-west-indies-odi-series-1995/matches
"South Africa in New Zealand, 1995 ",1995,Mar 05 - Mar 07,https://www.cricbuzz.com/cricket-series/1369/south-africa-in-new-zealand-1995/matches
"Pakistan in Zimbabwe ODI Series, 1995 ",1995,Feb 23 - Feb 25,https://www.cricbuzz.com/cricket-series/640/pakistan-in-zimbabwe-odi-series-1995/matches
"Australia, India, New Zealand, South Africa in New Zealand, 1995 ",1995,Feb 16 - Feb 25,https://www.cricbuzz.com/cricket-series/639/australia-india-new-zealand-south-africa-in-new-zealand-1995/matches
"West Indies in New Zealand Test Series, 1995 ",1995,Feb 04 - Feb 12,https://www.cricbuzz.com/cricket-series/1367/west-indies-in-new-zealand-test-series-1995/matches
"Pakistan in Zimbabwe Test Series, 1995 ",1995,Feb 01 - Feb 18,https://www.cricbuzz.com/cricket-series/1368/pakistan-in-zimbabwe-test-series-1995/matches
"West Indies in New Zealand ODI Series, 1995 ",1995,Jan 23 - Jan 27,https://www.cricbuzz.com/cricket-series/638/west-indies-in-new-zealand-odi-series-1995/matches
"Pakistan in South Africa Test Match, 1995 ",1995,Jan 20 - Jan 22,https://www.cricbuzz.com/cricket-series/1365/pakistan-in-south-africa-test-match-1995/matches
"India in South Africa Test Series, 1996-97 ",1996,Dec 27 - Jan 19,https://www.cricbuzz.com/cricket-series/1390/india-in-south-africa-test-series-1996-97/matches
"England in Zimbabwe Test Series, 1996 ",1996,Dec 19 - Dec 29,https://www.cricbuzz.com/cricket-series/1389/england-in-zimbabwe-test-series-1996/matches
"England in Zimbabwe ODI Series, 1996 ",1996,Dec 16 - Jan 02,https://www.cricbuzz.com/cricket-series/668/england-in-zimbabwe-odi-series-1996/matches
"South Africa in India, 1996 ",1996,Dec 15 - Dec 13,https://www.cricbuzz.com/cricket-series/667/south-africa-in-india-1996/matches
"Australia, Pakistan, West Indies in Australia, 1996-97 ",1996,Dec 07 - Jan 19,https://www.cricbuzz.com/cricket-series/669/australia-pakistan-west-indies-in-australia-1996-97/matches
"New Zealand in Pakistan ODI Series, 1996 ",1996,Dec 05 - Dec 07,https://www.cricbuzz.com/cricket-series/666/new-zealand-in-pakistan-odi-series-1996/matches
"West Indies in Australia, 1996-97 ",1996,Nov 23 - Feb 02,https://www.cricbuzz.com/cricket-series/1391/west-indies-in-australia-1996-97/matches
"New Zealand in Pakistan Test Series, 1996 ",1996,Nov 22 - Nov 30,https://www.cricbuzz.com/cricket-series/1387/new-zealand-in-pakistan-test-series-1996/matches
"South Africa in India Test Series, 1996 ",1996,Nov 21 - Dec 11,https://www.cricbuzz.com/cricket-series/1388/south-africa-in-india-test-series-1996/matches
